,Unnamed: 0,title,artist,top genre,year,country,val,dur,albums
2,776,100 Degrees,Rich Brian,indonesian hip hop,2019,indonesia,66,166,The Sailor
3,532,105 F Remix,KEVVO,perreo,2019,chile,74,464,105 F Remix
4,584,105 F Remix,KEVVO,perreo,2019,spain,74,464,105 F Remix
5,434,200 km/h,Apache 207,german hip hop,2019,germany,41,163,200 km/h
6,190,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,australia,45,220,Learning To Crawl [Expanded and Remastered]
8,813,7 rings,Ariana Grande,dance pop,2019,israel,33,179,"thank u, next"
9,198,8 Days of Christmas,Destiny's Child,dance pop,1999,australia,64,210,The Writing's On The Wall
10,727,8 Parche,Baani Sandhu,punjabi pop,2019,india,73,210,8 Parche
11,686,93% [Tijuana],GLK,francoton,2019,france,80,223,93% [Tijuana]
12,328,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,brazil,63,183,Festival Flamenco Gitano
13,590,A Dónde Vamos,Morat,colombian pop,2019,spain,96,203,A Dónde Vamos
14,337,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,83,238,O Embaixador in Cariri (Ao Vivo)
15,43,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,world,86,133,20 1's Christmas
16,81,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,africa,86,133,20 1's Christmas
17,182,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,australia,86,133,20 1's Christmas
18,241,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,belgium,86,133,20 1's Christmas
19,388,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,canada,86,133,20 1's Christmas
20,636,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,usa,86,133,20 1's Christmas
21,897,ANSIA NO,FSK SATELLITE,italian hip hop,2019,italy,71,149,FSK TRAPSHIT REVENGE
22,298,Adan y Eva,Paulo Londra,argentine hip hop,2019,bolivia,72,257,Adan y Eva
23,107,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,argentina,62,271,Adicto
24,259,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,bolivia,62,271,Adicto
25,458,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,colombia,62,271,Adicto
26,508,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,chile,62,271,Adicto
27,559,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,spain,62,271,Adicto
28,485,Adonay,Rodolfo Aicardi,classic colombian pop,2014,colombia,97,187,"Música Tropical de Colombia, Vol. 10"
29,175,Adore You,Harry Styles,dance pop,2019,australia,57,207,Fine Line
30,983,Adore You,Harry Styles,dance pop,2019,malasya,57,207,Fine Line
31,782,Adu Rayu,Yovie Widianto,indonesian pop,2019,indonesia,22,208,Adu Rayu
32,97,Akulaleki,Samthing Soweto,afro house,2019,africa,34,382,Akulaleki (Radio Edit)
33,330,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,brazil,67,232,Errejota (ao Vivo)
34,479,Alguien Me Gusta,Andy Rivera,latin,2019,colombia,81,169,Alguien Me Gusta
35,548,Algún Día Volveras,Santaferia,cumbia chilena,2018,chile,69,254,Algún Día Volveras
36,432,Alien,RIN,german cloud rap,2019,germany,85,209,Nimmerland
37,4,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,world,35,241,Merry Christmas
38,54,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,africa,35,241,Merry Christmas
39,154,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,australia,35,241,Merry Christmas
40,204,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,belgium,35,241,Merry Christmas
41,251,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,bolivia,35,241,Merry Christmas
42,352,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,canada,35,241,Merry Christmas
43,402,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,germany,35,241,Merry Christmas
44,501,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,chile,35,241,Merry Christmas
45,552,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,spain,35,241,Merry Christmas
46,602,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,usa,35,241,Merry Christmas
47,653,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,france,35,241,Merry Christmas
48,853,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,italy,35,241,Merry Christmas
49,900,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,japan,35,241,Merry Christmas
50,954,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,malasya,35,241,Merry Christmas
52,291,Amor a Primera Vista,Los Angeles Azules,grupera,2019,bolivia,95,221,Amor a Primera Vista
53,787,April,Fiersa Besari,indonesian indie,2014,indonesia,57,264,Tempat Aku Pulang
54,683,Aristocrate,Heuss L'enfoiré,french hip hop,2019,france,63,170,En esprit
55,289,Atrévete,Nicky Jam,latin,2019,bolivia,59,198,Intimo
56,688,Avant toi,Vitaa,francoton,2019,france,25,224,VersuS
57,114,Aventura,Lunay,latin,2019,argentina,88,217,Épico
58,267,Aventura,Lunay,latin,2019,bolivia,88,217,Épico
59,465,Aventura,Lunay,latin,2019,colombia,88,217,Épico
60,513,Aventura,Lunay,latin,2019,chile,88,217,Épico
61,563,Aventura,Lunay,latin,2019,spain,88,217,Épico
62,488,Aventurero,Yeison Jimenez,colombian pop,2019,colombia,90,190,Aventurero
63,412,Ayy Macarena,Tyga,pop rap,2019,germany,72,132,Ayy Macarena
64,864,Ayy Macarena,Tyga,pop rap,2019,italy,72,132,Ayy Macarena
65,334,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,brazil,85,174,"Music Connection, Volume 1"
68,611,BOP,DaBaby,nc hip hop,2019,usa,84,160,KIRK
69,885,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,italy,28,200,Persona
70,185,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,hollywood,2014,australia,56,166,Holiday Wishes
71,383,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,canada,68,174,"Baby, It's Cold Outside (feat. Meghan Trainor)"
72,394,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,canada,54,144,Million Sellers
73,643,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,usa,54,144,Million Sellers
74,674,Baianá,Bakermat,deep euro house,2019,france,49,182,Baianá
76,886,Barrio,Mahmood,italian arena pop,2019,italy,57,165,Barrio
77,76,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,africa,55,198,Beautiful People (feat. Khalid)
78,763,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,indonesia,55,198,Beautiful People (feat. Khalid)
79,816,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,israel,55,198,Beautiful People (feat. Khalid)
80,986,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,malasya,55,198,Beautiful People (feat. Khalid)
81,321,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,brazil,68,160,"Todos Os Cantos, Vol. 1 (Ao Vivo)"
83,992,Before You Go,Lewis Capaldi,pop,2019,malasya,18,215,Before You Go
85,711,Believer,Imagine Dragons,modern rock,2017,india,67,204,Best Of 2017
86,287,Bellaquita,Dalex,latin,2019,bolivia,77,205,Bellaquita (Remix)
87,125,Bellaquita - Remix,Dalex,latin,2019,argentina,76,305,Bellaquita (Remix)
88,278,Bellaquita - Remix,Dalex,latin,2019,bolivia,76,305,Bellaquita (Remix)
89,475,Bellaquita - Remix,Dalex,latin,2019,colombia,76,305,Bellaquita (Remix)
90,523,Bellaquita - Remix,Dalex,latin,2019,chile,76,305,Bellaquita (Remix)
91,573,Bellaquita - Remix,Dalex,latin,2019,spain,76,305,Bellaquita (Remix)
93,549,Blanca Navidad,Luis Miguel,bolero,2006,chile,18,212,Navidades Luis Miguel
94,127,Blanco,J Balvin,latin,2019,argentina,59,146,Blanco
95,280,Blanco,J Balvin,latin,2019,bolivia,59,146,Blanco
96,472,Blanco,J Balvin,latin,2019,colombia,59,146,Blanco
97,572,Blanco,J Balvin,latin,2019,spain,59,146,Blanco
98,10,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,world,35,202,After Hours
99,207,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,belgium,35,202,After Hours
100,404,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,germany,35,202,After Hours
101,656,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,france,35,202,After Hours
102,704,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,india,35,202,After Hours
103,810,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,israel,35,202,After Hours
104,961,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,malasya,35,202,After Hours
105,694,Block,Larry,french hip hop,2019,france,71,157,Block
106,30,Blue Christmas,Elvis Presley,adult standards,1957,world,58,129,Elvis' Christmas Album
107,73,Blue Christmas,Elvis Presley,adult standards,1957,africa,58,129,Elvis' Christmas Album
108,174,Blue Christmas,Elvis Presley,adult standards,1957,australia,58,129,Elvis' Christmas Album
109,229,Blue Christmas,Elvis Presley,adult standards,1957,belgium,58,129,Elvis' Christmas Album
110,371,Blue Christmas,Elvis Presley,adult standards,1957,canada,58,129,Elvis' Christmas Album
111,624,Blue Christmas,Elvis Presley,adult standards,1957,usa,58,129,Elvis' Christmas Album
112,884,Bossoli,Shiva,italian hip hop,2019,italy,80,179,Bossoli
113,761,Boy With Luv (feat. Halsey),BTS,k-pop,2019,indonesia,80,230,MAP OF THE SOUL : 7
114,984,Boy With Luv (feat. Halsey),BTS,k-pop,2019,malasya,80,230,MAP OF THE SOUL : 7
115,676,Bâtiment,Niska,french hip hop,2019,france,65,211,Mr Sal
116,139,C90 - Remix,John C,argentine hip hop,2019,argentina,61,316,C90 (Remix)
117,138,CANGURO,WOS,argentine indie,2019,argentina,93,197,CANGURO
119,425,COLT,Samra,german hip hop,2019,germany,18,180,COLT
120,877,CRUDELIA - I nervi,Marracash,italian hip hop,2019,italy,7,231,Persona
121,108,Callaita,Bad Bunny,latin,2019,argentina,24,251,Callaita
122,258,Callaita,Bad Bunny,latin,2019,bolivia,24,251,Callaita
123,457,Callaita,Bad Bunny,latin,2019,colombia,24,251,Callaita
124,509,Callaita,Bad Bunny,latin,2019,chile,24,251,Callaita
125,560,Callaita,Bad Bunny,latin,2019,spain,24,251,Callaita
126,126,Calma - Remix,Pedro Capó,latin,2018,argentina,76,238,Calma (Remix)
127,766,Can We Kiss Forever?,Kina,pop,2018,indonesia,12,188,Can We Kiss Forever?
128,491,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,colombia,95,227,De Peligro
129,635,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,usa,80,85,The All-American Chorus
130,347,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,92,216,O Embaixador in Cariri - Vol. 2 (Ao Vivo)
131,778,Celengan Rindu,Fiersa Besari,indonesian indie,2014,indonesia,66,224,Tempat Aku Pulang
132,729,Chal Bombay,DIVINE,desi hip hop,2019,india,51,174,Kohinoor
133,312,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,brazil,96,120,Chama Ela (feat. Pedro Sampaio)
134,739,Chandigarh Mein,Badshah,desi hip hop,2019,india,34,205,Good Newwz
135,304,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,brazil,71,182,Caipirinha
136,882,Chiasso,Random,italian hip hop,2019,italy,46,182,Chiasso
137,103,China,Anuel AA,latin,2019,argentina,61,302,China
138,255,China,Anuel AA,latin,2019,bolivia,61,302,China
139,453,China,Anuel AA,latin,2019,colombia,61,302,China
140,505,China,Anuel AA,latin,2019,chile,61,302,China
141,557,China,Anuel AA,latin,2019,spain,61,302,China
142,46,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,world,36,166,A Christmas Gift For You From Phil Spector
143,83,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,africa,36,166,A Christmas Gift For You From Phil Spector
144,243,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,belgium,36,166,A Christmas Gift For You From Phil Spector
145,391,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,canada,36,166,A Christmas Gift For You From Phil Spector
146,640,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,usa,36,166,A Christmas Gift For You From Phil Spector
147,28,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,world,70,153,Christmas Pop
148,70,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,africa,70,153,Christmas Pop
149,226,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,belgium,70,153,Christmas Pop
150,369,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,canada,70,153,Christmas Pop
151,622,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,usa,70,153,Christmas Pop
152,33,Christmas Lights,Coldplay,permanent wave,2010,world,24,242,Christmas Lights
153,173,Christmas Lights,Coldplay,permanent wave,2010,australia,24,242,Christmas Lights
154,230,Christmas Lights,Coldplay,permanent wave,2010,belgium,24,242,Christmas Lights
155,376,Christmas Lights,Coldplay,permanent wave,2010,canada,24,242,Christmas Lights
156,417,Christmas Lights,Coldplay,permanent wave,2010,germany,24,242,Christmas Lights
157,440,Christmas Time,Bryan Adams,album rock,2019,germany,32,243,Various Artists - Top Collection: Merry Christmas Everybody
158,648,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,usa,9,166,Vocal Christmas Jazz
159,899,Cin Cin,Alfa,italian arena pop,2019,italy,37,180,Cin Cin
160,794,Cinta Luar Biasa,Andmesh,indonesian pop,2019,indonesia,32,256,Cinta Luar Biasa
161,997,Cinta Luar Biasa,Andmesh,indonesian pop,2019,malasya,32,256,Cinta Luar Biasa
162,3,Circles,Post Malone,dfw rap,2019,world,55,215,Hollywood's Bleeding
163,51,Circles,Post Malone,dfw rap,2019,africa,55,215,Hollywood's Bleeding
164,152,Circles,Post Malone,dfw rap,2019,australia,55,215,Hollywood's Bleeding
165,203,Circles,Post Malone,dfw rap,2019,belgium,55,215,Hollywood's Bleeding
166,601,Circles,Post Malone,dfw rap,2019,usa,55,215,Hollywood's Bleeding
167,702,Circles,Post Malone,dfw rap,2019,india,55,215,Hollywood's Bleeding
168,803,Circles,Post Malone,dfw rap,2019,israel,55,215,Hollywood's Bleeding
169,953,Circles,Post Malone,dfw rap,2019,malasya,55,215,Hollywood's Bleeding
170,335,Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,brazil,30,202,Com ou Sem Mim (Ao Vivo em Fortaleza)
171,301,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,brazil,61,158,Combatchy (feat. MC Rebecca)
172,690,Compliqué,Dadju,francoton,2019,france,93,215,Compliqué
173,121,Con Altura,ROSALÍA,r&b en espanol,2019,argentina,75,162,Con Altura
174,275,Con Altura,ROSALÍA,r&b en espanol,2019,bolivia,75,162,Con Altura
175,470,Con Altura,ROSALÍA,r&b en espanol,2019,colombia,75,162,Con Altura
176,571,Con Altura,ROSALÍA,r&b en espanol,2019,spain,75,162,Con Altura
177,123,Con Calma,Daddy Yankee,latin,2019,argentina,66,193,Con Calma
178,587,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,spain,71,220,La Dura Vida del Joven Rapero
179,315,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,brazil,81,173,Carnaval 2020
180,539,Coronao Now,El Alfa,dembow,2019,chile,72,218,Coronao Now (Remix)
181,526,Cuerpo en Venta,Noriel,latin,2019,chile,41,254,Cuerpo en Venta
182,140,Cómo estás,Ke Personajes,cumbia pop,2019,argentina,98,227,Cómo estás
183,696,Côte Ouest,47ter,french hip hop,2019,france,58,233,Côte Ouest
184,119,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,argentina,83,259,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
185,274,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,bolivia,83,259,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
186,520,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,chile,83,259,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
187,568,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,spain,83,259,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
188,788,Dan...,Sheila On 7,indonesian pop,1999,indonesia,54,289,Sheila On 7
189,740,Dance Like,Harrdy Sandhu,desi pop,2019,india,54,172,Dance Like
190,0,Dance Monkey,Tones and I,australian pop,2019,world,51,209,The Kids Are Coming
191,50,Dance Monkey,Tones and I,australian pop,2019,africa,51,209,The Kids Are Coming
192,100,Dance Monkey,Tones and I,australian pop,2019,argentina,51,209,The Kids Are Coming
193,150,Dance Monkey,Tones and I,australian pop,2019,australia,51,209,The Kids Are Coming
194,200,Dance Monkey,Tones and I,australian pop,2019,belgium,51,209,The Kids Are Coming
195,250,Dance Monkey,Tones and I,australian pop,2019,bolivia,51,209,The Kids Are Coming
196,300,Dance Monkey,Tones and I,australian pop,2019,brazil,51,209,The Kids Are Coming
197,350,Dance Monkey,Tones and I,australian pop,2019,canada,51,209,The Kids Are Coming
198,400,Dance Monkey,Tones and I,australian pop,2019,germany,51,209,The Kids Are Coming
199,450,Dance Monkey,Tones and I,australian pop,2019,colombia,51,209,The Kids Are Coming
200,500,Dance Monkey,Tones and I,australian pop,2019,chile,51,209,The Kids Are Coming
201,550,Dance Monkey,Tones and I,australian pop,2019,spain,51,209,The Kids Are Coming
202,650,Dance Monkey,Tones and I,australian pop,2019,france,51,209,The Kids Are Coming
203,750,Dance Monkey,Tones and I,australian pop,2019,indonesia,51,209,The Kids Are Coming
204,800,Dance Monkey,Tones and I,australian pop,2019,israel,51,209,The Kids Are Coming
205,850,Dance Monkey,Tones and I,australian pop,2019,italy,51,209,The Kids Are Coming
206,950,Dance Monkey,Tones and I,australian pop,2019,malasya,51,209,The Kids Are Coming
207,495,Daniela,Rodolfo Aicardi,classic colombian pop,2012,colombia,93,198,De Peligro
208,680,Dans l'univers,Nekfeu,french hip hop,2019,france,20,244,Les étoiles vagabondes
209,426,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,germany,67,192,Der Bratan bleibt der gleiche
210,295,Desconocidos,Mau y Ricky,latin,2019,bolivia,68,205,Desconocidos
211,297,Detente,Mike Bahía,colombian pop,2019,bolivia,36,182,Navegando
213,687,Distant,Maes,french hip hop,2019,france,49,162,Distant
214,29,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,world,35,223,Do They Know Its Christmas?
215,72,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,africa,35,223,Do They Know Its Christmas?
216,170,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,australia,35,223,Do They Know Its Christmas?
217,228,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,belgium,35,223,Do They Know Its Christmas?
218,370,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,canada,35,223,Do They Know Its Christmas?
219,416,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,germany,35,223,Do They Know Its Christmas?
220,623,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,usa,35,223,Do They Know Its Christmas?
221,387,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,canada,41,166,A Capitol Christmas
222,634,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,usa,41,166,A Capitol Christmas
223,430,Doch in der Nacht,Apache 207,german hip hop,2019,germany,71,192,Platte
224,342,Dois Lados,Wesley Safadão,forro,2019,brazil,93,147,Dois Lados
225,736,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,india,91,164,"Don't Be Shy Again (From ""Bala"")"
226,8,Don't Start Now,Dua Lipa,dance pop,2019,world,68,183,Don't Start Now
227,155,Don't Start Now,Dua Lipa,dance pop,2019,australia,68,183,Don't Start Now
