,title,artist,top genre,year,country,val
858,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,italy,40
903,Happy Xmas (War Is Over) - Remastered,John Lennon,album rock,2010,japan,40
586,Hasta Que Salga el Sol,Ozuna,latin,2019,spain,60
748,"Hauli Hauli (From ""De De Pyaar De"")",Garry Sandhu,bhangra,2019,india,57
196,Have Yourself A Merry Little Christmas,Ella Fitzgerald,adult standards,1960,australia,48
644,Have Yourself A Merry Little Christmas,Judy Garland,adult standards,1944,usa,11
23,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,world,34
66,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,africa,34
167,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,australia,34
222,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,belgium,34
364,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,canada,34
413,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,germany,34
619,Have Yourself A Merry Little Christmas,Sam Smith,pop,2014,usa,34
707,Heartless,The Weeknd,canadian contemporary r&b,2019,india,20
943,Hikoutei,King Gnu,j-pop,2019,japan,49
307,Hit Contagiante,Felipe Original,brega funk,2019,brazil,96
247,Hoe Het Danst,Marco Borsato,dutch cabaret,2019,belgium,42
117,Hola - Remix,Dalex,latin,2019,argentina,34
269,Hola - Remix,Dalex,latin,2019,bolivia,34
466,Hola - Remix,Dalex,latin,2019,colombia,34
518,Hola - Remix,Dalex,latin,2019,chile,34
567,Hola - Remix,Dalex,latin,2019,spain,34
896,Holly & Benji (feat. Capo Plaza & Shiva),AVA,italian hip hop,2019,italy,50
45,Holly Jolly Christmas,Michael Bublé,adult standards,2011,world,74
82,Holly Jolly Christmas,Michael Bublé,adult standards,2011,africa,74
184,Holly Jolly Christmas,Michael Bublé,adult standards,2011,australia,74
242,Holly Jolly Christmas,Michael Bublé,adult standards,2011,belgium,74
390,Holly Jolly Christmas,Michael Bublé,adult standards,2011,canada,74
535,Holly Jolly Christmas,Michael Bublé,adult standards,2011,chile,74
639,Holly Jolly Christmas,Michael Bublé,adult standards,2011,usa,74
665,Holly Jolly Christmas,Michael Bublé,adult standards,2011,france,74
872,Holly Jolly Christmas,Michael Bublé,adult standards,2011,italy,74
991,Holly Jolly Christmas,Michael Bublé,adult standards,2011,malasya,74
965,How Do You Sleep?,Sam Smith,pop,2019,malasya,35
199,How to Make Gravy,Paul Kelly,australian alternative rock,2019,australia,39
668,Hé oh,Gambi,pop urbaine,2019,france,54
764,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,indonesia,84
817,I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,israel,84
771,I Love You 3000,Stephanie Poetri,indonesian pop,2019,indonesia,41
993,I Love You 3000,Stephanie Poetri,indonesian pop,2019,malasya,41
789,I Love You but I'm Letting Go,Pamungkas,indonesian indie,2018,indonesia,13
41,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,world,61
238,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,belgium,61
385,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,canada,61
632,I Saw Mommy Kissing Santa Claus,The Jackson 5,adult standards,1970,usa,61
84,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,africa,15
395,I'll Be Home for Christmas,Michael Bublé,adult standards,2011,canada,15
982,I.F.L.Y.,Bazzi,pop,2019,malasya,55
730,Ik Tera,Maninder Buttar,desi pop,2019,india,49
541,Imaginaste - Remix,Jhay Cortez,latin,2019,chile,60
443,In der Weihnachtsbäckerei,Rolf Zuckowski,german pop,1987,germany,92
116,Indeciso,Reik,latin,2019,argentina,90
265,Indeciso,Reik,latin,2019,bolivia,90
462,Indeciso,Reik,latin,2019,colombia,90
562,Indeciso,Reik,latin,2019,spain,90
543,Infeliz,Arcangel,latin,2019,chile,72
978,Into the Unknown,Idina Menzel,hollywood,2019,malasya,27
316,Invocada (Participação especial de Léo Santana) - Ao vivo,Ludmilla,baile pop,2019,brazil,70
26,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,world,72
69,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,africa,72
225,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,belgium,72
368,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,canada,72
620,It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,adult standards,1999,usa,72
40,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,world,36
80,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,africa,36
180,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,australia,36
237,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,belgium,36
384,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,canada,36
421,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,germany,36
530,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,chile,36
580,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,spain,36
631,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,usa,36
870,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,italy,36
989,It's Beginning to Look a Lot like Christmas,Michael Bublé,adult standards,2011,malasya,36
758,It's You,Ali Gatie,canadian hip hop,2019,indonesia,40
974,It's You,Ali Gatie,canadian hip hop,2019,malasya,40
15,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,world,78
58,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,africa,78
161,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,australia,78
213,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,belgium,78
355,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,canada,78
410,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,germany,78
608,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,usa,78
861,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,italy,78
972,It's the Most Wonderful Time of the Year,Andy Williams,adult standards,1963,malasya,78
728,"Jai Jai Shivshankar (From ""War"")",Vishal Dadlani,desi pop,2019,india,53
679,Jamais,Mister V,french hip hop,2019,france,79
93,Jerusalem,Master KG,kwaito house,2019,africa,84
14,Jingle Bell Rock,Bobby Helms,adult standards,1992,world,81
57,Jingle Bell Rock,Bobby Helms,adult standards,1992,africa,81
163,Jingle Bell Rock,Bobby Helms,adult standards,1992,australia,81
214,Jingle Bell Rock,Bobby Helms,adult standards,1992,belgium,81
260,Jingle Bell Rock,Bobby Helms,adult standards,1992,bolivia,81
356,Jingle Bell Rock,Bobby Helms,adult standards,1992,canada,81
409,Jingle Bell Rock,Bobby Helms,adult standards,1992,germany,81
510,Jingle Bell Rock,Bobby Helms,adult standards,1992,chile,81
607,Jingle Bell Rock,Bobby Helms,adult standards,1992,usa,81
859,Jingle Bell Rock,Bobby Helms,adult standards,1992,italy,81
971,Jingle Bell Rock,Bobby Helms,adult standards,1992,malasya,81
27,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,world,84
71,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,africa,84
168,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,australia,84
227,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,belgium,84
367,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,canada,84
415,Jingle Bell Rock - Daryl's Version,Daryl Hall & John Oates,album rock,1983,germany,84
192,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,adult standards,2011,australia,83
398,Jingle Bells (feat. The Puppini Sisters),Michael Bublé,adult standards,2011,canada,83
386,Joy To The World,Nat King Cole,adult standards,1962,canada,66
633,Joy To The World,Nat King Cole,adult standards,1962,usa,66
448,KARMA,Nimo,german hip hop,2019,germany,53
447,KEIN SCHLAF,Nimo,german hip hop,2019,germany,43
742,"Kaise Hua (From ""Kabir Singh"")",Vishal Mishra,desi pop,2019,india,15
732,Kalank (Title Track),Arijit Singh,desi pop,2019,india,44
790,Kartonyono Medot Janji,Denny Caknan,Other,2019,indonesia,75
441,Keine Liebe,RIN,german cloud rap,2019,germany,57
792,Kenangan Manis,Pamungkas,indonesian indie,2018,indonesia,72
785,Kumau Dia,Andmesh,indonesian pop,2019,indonesia,60
106,LA CANCIÓN,J Balvin,latin,2019,argentina,43
257,LA CANCIÓN,J Balvin,latin,2019,bolivia,43
456,LA CANCIÓN,J Balvin,latin,2019,colombia,43
507,LA CANCIÓN,J Balvin,latin,2019,chile,43
494,La Burrita,Los Corraleros De Majagual,cumbia,2012,colombia,95
544,La Cama,Lunay,latin,2019,chile,82
595,La Cama,Lunay,latin,2019,spain,82
149,La Cola,Los Palmeras,argentine rock,2016,argentina,87
299,La Difícil,Camilo,colombian pop,2019,bolivia,55
484,La Noche,Joe Arroyo,cumbia,1999,colombia,83
589,La Rubia - Remix 2,La Nueva Escuela,dembow,2019,spain,75
675,La vie qu'on mène,Ninho,french hip hop,2019,france,46
89,Labantwana Ama Uber,Semi Tee,amapiano,2019,africa,53
812,Lalala,Y2K,pop rap,2019,israel,50
498,Las Caleñas,Pastor Lopez Y Su Combo,cumbia,2010,colombia,94
490,Las Cuatro Fiestas,Diomedes Diaz,cumbia,2006,colombia,97
37,Last Christmas,Wham!,new wave pop,1984,world,95
77,Last Christmas,Wham!,new wave pop,1984,africa,95
177,Last Christmas,Wham!,new wave pop,1984,australia,95
234,Last Christmas,Wham!,new wave pop,1984,belgium,95
285,Last Christmas,Wham!,new wave pop,1984,bolivia,95
379,Last Christmas,Wham!,new wave pop,1984,canada,95
419,Last Christmas,Wham!,new wave pop,1984,germany,95
574,Last Christmas,Wham!,new wave pop,1984,spain,95
628,Last Christmas,Wham!,new wave pop,1984,usa,95
661,Last Christmas,Wham!,new wave pop,1984,france,95
867,Last Christmas,Wham!,new wave pop,1984,italy,95
906,Last Christmas,Wham!,new wave pop,1984,japan,95
988,Last Christmas,Wham!,new wave pop,1984,malasya,95
775,Lebih Dari Egoku,Mawar De Jongh,indonesian pop,2019,indonesia,33
320,Lençol Dobrado,João Gustavo e Murilo,funk carioca,2018,brazil,67
22,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,world,70
65,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,africa,70
221,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,belgium,70
363,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,canada,70
618,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,usa,70
659,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,adult standards,1959,france,70
18,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,world,84
61,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,africa,84
164,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,australia,84
217,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,belgium,84
359,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,canada,84
612,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,usa,84
862,Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,adult standards,1994,italy,84
305,Liberdade Provisória,Henrique & Juliano,sertanejo universitario,2019,brazil,70
374,Like It's Christmas,Jonas Brothers,boy band,2019,canada,61
626,Like It's Christmas,Jonas Brothers,boy band,2019,usa,61
183,Little Saint Nick - 1991 Remix,The Beach Boys,baroque pop,1964,australia,97
638,Little Saint Nick - 1991 Remix,The Beach Boys,baroque pop,1964,usa,97
290,Loco,Beéle,Other,2019,bolivia,77
477,Loco,Beéle,Other,2019,colombia,77
672,Loin de moi,Naza,francoton,2019,france,50
489,Loquito por Ti,Armando Hernandez,chicha,2012,colombia,86
94,Lorch,Kabza De Small,afro house,2019,africa,41
482,Los sabanales,Calixto Ochoa,cumbia,1971,colombia,78
753,Lose You To Love Me,Selena Gomez,dance pop,2019,indonesia,9
958,Lose You To Love Me,Selena Gomez,dance pop,2019,malasya,9
99,"Love You Tonight (feat. DJ Maphorisa, Sha Sha & Kabza De Small)",Mfr Souls,afro house,2019,africa,68
981,Lover (Remix) [feat. Shawn Mendes],Taylor Swift,pop,2019,malasya,42
756,Lucid Dreams,Juice WRLD,chicago rap,2018,indonesia,22
811,Lucid Dreams,Juice WRLD,chicago rap,2018,israel,22
964,Lucid Dreams,Juice WRLD,chicago rap,2018,malasya,22
678,Ma belle,Moha La Squale,french hip hop,2019,france,47
691,Ma vie,Dadju,francoton,2019,france,32
939,Machigaisagashi,Masaki Suda,anime rock,2019,japan,44
717,Makhna,Tanishk Bagchi,desi pop,2019,india,43
681,Maman ne le sait pas (feat. Niska),Ninho,french hip hop,2019,france,39
545,Mami,Paloma Mami,latin pop,2019,chile,51
685,Marie,Koba LaD,french hip hop,2019,france,68
193,Mary's Boy Child / Oh My Lord,Boney M.,disco,2017,australia,93
673,Mayday (feat. Ninho),SCH,french hip hop,2019,france,25
141,Me Vas a Extrañar - En Vivo,Damas Gratis,cumbia villera,2018,argentina,64
760,Mean It,Lauv,pop,2019,indonesia,34
977,Mean It,Lauv,pop,2019,malasya,34
641,Mele Kalikimaka (Merry Christmas),Bing Crosby,adult standards,1945,usa,62
2,Memories,Maroon 5,pop,2019,world,57
52,Memories,Maroon 5,pop,2019,africa,57
153,Memories,Maroon 5,pop,2019,australia,57
202,Memories,Maroon 5,pop,2019,belgium,57
652,Memories,Maroon 5,pop,2019,france,57
700,Memories,Maroon 5,pop,2019,india,57
751,Memories,Maroon 5,pop,2019,indonesia,57
802,Memories,Maroon 5,pop,2019,israel,57
851,Memories,Maroon 5,pop,2019,italy,57
951,Memories,Maroon 5,pop,2019,malasya,57
737,"Mere Sohneya (From ""Kabir Singh"")",Sachet Tandon,desi pop,2019,india,65
49,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,world,96
87,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,africa,96
197,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,australia,96
248,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,belgium,96
399,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,canada,96
445,Merry Christmas Everyone,Shakin' Stevens,new wave pop,1997,germany,96
436,Merry Xmas Everybody,Slade,album rock,1973,germany,47
343,"Mil Anos - Recorded At Mosh Studios, São Paulo",Jorge & Mateus,sertanejo,2019,brazil,45
996,Mimpi (feat. Alif),K-Clique,malaysian indie,2019,malasya,87
17,Mistletoe,Justin Bieber,canadian pop,2011,world,85
59,Mistletoe,Justin Bieber,canadian pop,2011,africa,85
162,Mistletoe,Justin Bieber,canadian pop,2011,australia,85
216,Mistletoe,Justin Bieber,canadian pop,2011,belgium,85
358,Mistletoe,Justin Bieber,canadian pop,2011,canada,85
408,Mistletoe,Justin Bieber,canadian pop,2011,germany,85
610,Mistletoe,Justin Bieber,canadian pop,2011,usa,85
860,Mistletoe,Justin Bieber,canadian pop,2011,italy,85
969,Mistletoe,Justin Bieber,canadian pop,2011,malasya,85
392,Mistletoe And Holly - Remastered 1999,Frank Sinatra,adult standards,1957,canada,34
642,Mistletoe And Holly - Remastered 1999,Frank Sinatra,adult standards,1957,usa,34
439,Mit Dir,Loredana,kosovan pop,2019,germany,64
692,Mortel,Koba LaD,french hip hop,2019,france,66
666,Moulaga,Heuss L'enfoiré,french hip hop,2019,france,48
747,"Mummy Nu Pasand (From ""Jai Mummy Di"")",Sunanda Sharma,desi pop,2019,india,80
743,"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,desi pop,2019,india,54
709,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,india,38
814,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,israel,38
973,My Oh My (feat. DaBaby),Camila Cabello,dance pop,2019,malasya,38
42,My Only Wish (This Year),Britney Spears,dance pop,2019,world,68
239,My Only Wish (This Year),Britney Spears,dance pop,2019,belgium,68
422,My Only Wish (This Year),Britney Spears,dance pop,2019,germany,68
684,Méchant,Niska,french hip hop,2019,france,41
734,"Naah Goriye (From ""Bala"")",B Praak,desi pop,2019,india,72
90,Nana Thula,Kabza De Small,afro house,2019,africa,59
547,"Navidad, Navidad",Luis Miguel,bolero,2006,chile,75
244,Ne reviens pas,Gradur,french hip hop,2019,belgium,93
669,Ne reviens pas,Gradur,french hip hop,2019,france,93
819,Never Go Back,Dennis Lloyd,israeli pop,2019,israel,73
186,Never Seen The Rain,Tones and I,australian pop,2019,australia,27
818,Nevermind,Dennis Lloyd,israeli pop,2017,israel,8
144,No Dijeron Nada,Oscu,trap argentino,2019,argentina,91
975,No Idea,Don Toliver,rap,2019,malasya,35
120,No Me Conoce - Remix,Jhay Cortez,latin,2019,argentina,58
271,No Me Conoce - Remix,Jhay Cortez,latin,2019,bolivia,58
468,No Me Conoce - Remix,Jhay Cortez,latin,2019,colombia,58
519,No Me Conoce - Remix,Jhay Cortez,latin,2019,chile,58
570,No Me Conoce - Remix,Jhay Cortez,latin,2019,spain,58
142,No Te Creas Tan Importante - En Vivo,Damas Gratis,cumbia villera,2018,argentina,67
537,No Te Debí Besar,C. Tangana,trap espanol,2019,chile,62
889,Non Avere Paura,Tommaso Paradiso,italian arena pop,2019,italy,24
296,Nunca Es Suficiente,Los Angeles Azules,grupera,2018,bolivia,80
438,Nur zur Info,Ufo361,german cloud rap,2019,germany,23
795,Nyaman,Andmesh,indonesian pop,2019,indonesia,46
745,"O Saki Saki (From ""Batla House"")",Neha Kakkar,desi pop,2019,india,57
645,O Tannenbaum,Vince Guaraldi Trio,adult standards,1965,usa,34
147,Ocho Cuarenta,Rodrigo,argentine rock,1998,argentina,85
493,Ojitos Hechiceros,Rodolfo Aicardi,classic colombian pop,2012,colombia,62
146,Olvídala,Los Palmeras,argentine rock,2004,argentina,52
713,On My Way,Alan Walker,electro house,2019,india,30
765,On My Way,Alan Walker,electro house,2019,indonesia,30
784,One Only,Pamungkas,indonesian indie,2018,indonesia,11
282,Otro Trago,Sech,panamanian pop,2019,bolivia,62
122,Otro Trago - Remix,Sech,panamanian pop,2019,argentina,76
276,Otro Trago - Remix,Sech,panamanian pop,2019,bolivia,76
521,Otro Trago - Remix,Sech,panamanian pop,2019,chile,76
569,Otro Trago - Remix,Sech,panamanian pop,2019,spain,76
667,Oui ou non,Angèle,belgian pop,2019,france,36
132,Oye,TINI,latin pop,2019,argentina,26
281,Pa Mí - Remix,Dalex,latin,2019,bolivia,73
277,Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,bolivia,64
474,Pa' Olvidarme De Ella,Piso 21,colombian pop,2019,colombia,64
720,"Pachtaoge (From ""Jaani Ve"")",Arijit Singh,desi pop,2019,india,48
722,Pal Pal Dil Ke Paas- Title Track,Arijit Singh,desi pop,2019,india,39
947,Paprika,Foorin,kodomo no ongaku,2018,japan,73
329,"Para, Pensa e Volta - Ao Vivo",Yasmin Santos,sertanejo pop,2019,brazil,57
786,"Pelukku Untuk Pelikmu - OST Imperfect: Karier, Cinta, & Timbangan",Fiersa Besari,indonesian indie,2019,indonesia,25
791,Percaya Aku,Chintya Gabriella,Other,2019,indonesia,30
130,Perreo en La Luna,Rich Music LTD,reggaeton,2019,argentina,72
534,Perreo en La Luna,Rich Music LTD,reggaeton,2019,chile,72
583,Perreo en La Luna,Rich Music LTD,reggaeton,2019,spain,72
695,Petit Papa Noël,Tino Rossi,chanson,1998,france,42
536,Piensan,Myke Towers,latin,2019,chile,79
783,Pilu Membiru,Kunto Aji,indonesian indie,2018,indonesia,5
542,Piropo,Noriel,latin,2019,chile,77
879,Pookie (feat. Capo Plaza) - Remix,Aya Nakamura,basshall,2019,italy,51
664,Popopop,Gambi,pop urbaine,2019,france,41
599,Prendio - Remix,Rvfv,trap espanol,2019,spain,75
593,Prendío,Rvfv,trap espanol,2019,spain,90
934,Pretender,Official HIGE DANdism,anime rock,2019,japan,37
724,Proper Patola,Badshah,desi hip hop,2018,india,49
780,Psycho,Red Velvet,k-pop,2019,indonesia,41
994,Psycho,Red Velvet,k-pop,2019,malasya,41
273,QUE PRETENDES,J Balvin,latin,2019,bolivia,94
469,QUE PRETENDES,J Balvin,latin,2019,colombia,94
522,QUE PRETENDES,J Balvin,latin,2019,chile,94
318,Quando a vontade bater (Participação especial de PK Delas),Pk,brazilian edm,2019,brazil,70
314,Quarta Cadeira - Ao Vivo,Matheus & Kauan,pop nacional,2019,brazil,60
576,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,spain,46
662,Que Calor (feat. J Balvin & El Alfa),Major Lazer,dance pop,2019,france,46
