,title,artist,top genre,year,country,val,albums
2,100 Degrees,Rich Brian,indonesian hip hop,2019,indonesia,66,100 Degrees
3,105 F Remix,KEVVO,perreo,2019,chile,74,105 F Remix
4,105 F Remix,KEVVO,perreo,2019,spain,74,105 F Remix
5,200 km/h,Apache 207,german hip hop,2019,germany,41,200 km/h
6,2000 Miles - 2007 Remaster,Pretenders,album rock,1984,australia,45,2000 Miles (2007 Remaster)
8,7 rings,Ariana Grande,dance pop,2019,israel,33,7 rings
9,8 Days of Christmas,Destiny's Child,dance pop,1999,australia,64,8 Days of Christmas
10,8 Parche,Baani Sandhu,punjabi pop,2019,india,73,8 Parche
11,93% [Tijuana],GLK,francoton,2019,france,80,93% [Tijuana]
12,A Culpa é do Meu Grau (feat. Zé Neto & Cristiano) - Ao Vivo em Brasília,Diego & Victor Hugo,sertanejo pop,2019,brazil,63,Jaleo
13,A Dónde Vamos,Morat,colombian pop,2019,spain,96,A Dónde Vamos
14,A Gente Fez Amor - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,83,A Gente Fez Amor (Ao Vivo)
15,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,world,86,A Holly Jolly Christmas (Single Version)
16,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,africa,86,A Holly Jolly Christmas (Single Version)
17,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,australia,86,A Holly Jolly Christmas (Single Version)
18,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,belgium,86,A Holly Jolly Christmas (Single Version)
19,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,canada,86,A Holly Jolly Christmas (Single Version)
20,A Holly Jolly Christmas - Single Version,Burl Ives,adult standards,1998,usa,86,A Holly Jolly Christmas (Single Version)
21,ANSIA NO,FSK SATELLITE,italian hip hop,2019,italy,71,ANSIA NO
22,Adan y Eva,Paulo Londra,argentine hip hop,2019,bolivia,72,Adan y Eva
23,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,argentina,62,Adicto
24,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,bolivia,62,Adicto
25,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,colombia,62,Adicto
26,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,chile,62,Adicto
27,Adicto (with Anuel AA & Ozuna),Tainy,pop reggaeton,2019,spain,62,Adicto
28,Adonay,Rodolfo Aicardi,classic colombian pop,2014,colombia,97,Adonay
29,Adore You,Harry Styles,dance pop,2019,australia,57,Adore You
30,Adore You,Harry Styles,dance pop,2019,malasya,57,Adore You
31,Adu Rayu,Yovie Widianto,indonesian pop,2019,indonesia,22,Adu Rayu
32,Akulaleki,Samthing Soweto,afro house,2019,africa,34,Akulaleki (Radio Edit)
33,Algo Mais (Amante) - Ao Vivo,Xand Avião,funk carioca,2019,brazil,67,Algo Mais (Amante) (Ao Vivo)
34,Alguien Me Gusta,Andy Rivera,latin,2019,colombia,81,Alguien Me Gusta
35,Algún Día Volveras,Santaferia,cumbia chilena,2018,chile,69,Algún Día Volveras
36,Alien,RIN,german cloud rap,2019,germany,85,Alien
37,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,world,35,All I Want for Christmas Is You
38,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,africa,35,All I Want for Christmas Is You
39,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,australia,35,All I Want for Christmas Is You
40,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,belgium,35,All I Want for Christmas Is You
41,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,bolivia,35,All I Want for Christmas Is You
42,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,canada,35,All I Want for Christmas Is You
43,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,germany,35,All I Want for Christmas Is You
44,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,chile,35,All I Want for Christmas Is You
45,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,spain,35,All I Want for Christmas Is You
46,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,usa,35,All I Want for Christmas Is You
47,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,france,35,All I Want for Christmas Is You
48,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,italy,35,All I Want for Christmas Is You
49,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,japan,35,All I Want for Christmas Is You
50,All I Want for Christmas Is You,Mariah Carey,dance pop,1994,malasya,35,All I Want for Christmas Is You
52,Amor a Primera Vista,Los Angeles Azules,grupera,2019,bolivia,95,Amor a Primera Vista
53,April,Fiersa Besari,indonesian indie,2014,indonesia,57,April
54,Aristocrate,Heuss L'enfoiré,french hip hop,2019,france,63,Aristocrate
55,Atrévete,Nicky Jam,latin,2019,bolivia,59,Atrévete
56,Avant toi,Vitaa,francoton,2019,france,25,Avant toi
57,Aventura,Lunay,latin,2019,argentina,88,Aventura
58,Aventura,Lunay,latin,2019,bolivia,88,Aventura
59,Aventura,Lunay,latin,2019,colombia,88,Aventura
60,Aventura,Lunay,latin,2019,chile,88,Aventura
61,Aventura,Lunay,latin,2019,spain,88,Aventura
62,Aventurero,Yeison Jimenez,colombian pop,2019,colombia,90,Aventurero
63,Ayy Macarena,Tyga,pop rap,2019,germany,72,Ayy Macarena
64,Ayy Macarena,Tyga,pop rap,2019,italy,72,Ayy Macarena
65,Aí Eu Bebo - Ao Vivo,Maiara & Maraisa,sertanejo universitario,2019,brazil,85,Shadow
68,BOP,DaBaby,nc hip hop,2019,usa,84,BOP
69,BRAVI A CADERE - I polmoni,Marracash,italian hip hop,2019,italy,28,BRAVI A CADERE - I polmoni
70,Baby It's Cold Outside (duet with Michael Bublé),Idina Menzel,hollywood,2014,australia,56,Baby It's Cold Outside (duet with Michael Bublé)
71,"Baby, It's Cold Outside",Brett Eldredge,contemporary country,2016,canada,68,"Baby, It's Cold Outside (feat. Meghan Trainor)"
72,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,canada,54,"Baby, It's Cold Outside"
73,"Baby, It's Cold Outside",Dean Martin,adult standards,1959,usa,54,"Baby, It's Cold Outside"
74,Baianá,Bakermat,deep euro house,2019,france,49,Baianá
76,Barrio,Mahmood,italian arena pop,2019,italy,57,Barrio
77,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,africa,55,Beautiful People (feat. Khalid)
78,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,indonesia,55,Beautiful People (feat. Khalid)
79,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,israel,55,Beautiful People (feat. Khalid)
80,Beautiful People (feat. Khalid),Ed Sheeran,pop,2019,malasya,55,Beautiful People (feat. Khalid)
81,Bebi Liguei - Ao Vivo,Marília Mendonça,sertanejo,2019,brazil,68,Bebi Liguei (Ao Vivo)
83,Before You Go,Lewis Capaldi,pop,2019,malasya,18,Before You Go
85,Believer,Imagine Dragons,modern rock,2017,india,67,Believer
86,Bellaquita,Dalex,latin,2019,bolivia,77,Bellaquita (Remix)
87,Bellaquita - Remix,Dalex,latin,2019,argentina,76,Bellaquita (Remix)
88,Bellaquita - Remix,Dalex,latin,2019,bolivia,76,Bellaquita (Remix)
89,Bellaquita - Remix,Dalex,latin,2019,colombia,76,Bellaquita (Remix)
90,Bellaquita - Remix,Dalex,latin,2019,chile,76,Bellaquita (Remix)
91,Bellaquita - Remix,Dalex,latin,2019,spain,76,Bellaquita (Remix)
93,Blanca Navidad,Luis Miguel,bolero,2006,chile,18,Blanca Navidad
94,Blanco,J Balvin,latin,2019,argentina,59,Blanco
95,Blanco,J Balvin,latin,2019,bolivia,59,Blanco
96,Blanco,J Balvin,latin,2019,colombia,59,Blanco
97,Blanco,J Balvin,latin,2019,spain,59,Blanco
98,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,world,35,Blinding Lights
99,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,belgium,35,Blinding Lights
100,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,germany,35,Blinding Lights
101,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,france,35,Blinding Lights
102,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,india,35,Blinding Lights
103,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,israel,35,Blinding Lights
104,Blinding Lights,The Weeknd,canadian contemporary r&b,2019,malasya,35,Blinding Lights
105,Block,Larry,french hip hop,2019,france,71,Block
106,Blue Christmas,Elvis Presley,adult standards,1957,world,58,Blue Christmas
107,Blue Christmas,Elvis Presley,adult standards,1957,africa,58,Blue Christmas
108,Blue Christmas,Elvis Presley,adult standards,1957,australia,58,Blue Christmas
109,Blue Christmas,Elvis Presley,adult standards,1957,belgium,58,Blue Christmas
110,Blue Christmas,Elvis Presley,adult standards,1957,canada,58,Blue Christmas
111,Blue Christmas,Elvis Presley,adult standards,1957,usa,58,Blue Christmas
112,Bossoli,Shiva,italian hip hop,2019,italy,80,Bossoli
113,Boy With Luv (feat. Halsey),BTS,k-pop,2019,indonesia,80,Boy With Luv (Feat. Halsey)
114,Boy With Luv (feat. Halsey),BTS,k-pop,2019,malasya,80,Boy With Luv (Feat. Halsey)
115,Bâtiment,Niska,french hip hop,2019,france,65,Bâtiment
116,C90 - Remix,John C,argentine hip hop,2019,argentina,61,C90 (Remix)
117,CANGURO,WOS,argentine indie,2019,argentina,93,CANGURO
119,COLT,Samra,german hip hop,2019,germany,18,COLT
120,CRUDELIA - I nervi,Marracash,italian hip hop,2019,italy,7,CRUDELIA - I nervi
121,Callaita,Bad Bunny,latin,2019,argentina,24,Callaita
122,Callaita,Bad Bunny,latin,2019,bolivia,24,Callaita
123,Callaita,Bad Bunny,latin,2019,colombia,24,Callaita
124,Callaita,Bad Bunny,latin,2019,chile,24,Callaita
125,Callaita,Bad Bunny,latin,2019,spain,24,Callaita
126,Calma - Remix,Pedro Capó,latin,2018,argentina,76,Calma (Remix) (Remix)
127,Can We Kiss Forever?,Kina,pop,2018,indonesia,12,Can We Kiss Forever?
128,Cariñito,Rodolfo Aicardi,classic colombian pop,2012,colombia,95,Cariñito
129,Carol of the Bells,Mykola Dmytrovych Leontovych,post-romantic era,1990,usa,80,Carol of the Bells
130,Carreira Solo - Ao Vivo,Gusttavo Lima,sertanejo universitario,2019,brazil,92,Carreira Solo (Ao Vivo)
131,Celengan Rindu,Fiersa Besari,indonesian indie,2014,indonesia,66,Celengan Rindu
132,Chal Bombay,DIVINE,desi hip hop,2019,india,51,Chal Bombay
133,Chama Ela (feat. Pedro Sampaio),Lexa,baile pop,2019,brazil,96,Chama Ela (feat. Pedro Sampaio)
134,Chandigarh Mein,Badshah,desi hip hop,2019,india,34,Chandigarh Mein
135,Cheirosa - Ao Vivo,Jorge & Mateus,sertanejo,2019,brazil,71,O Telefone Tocou Novamente
136,Chiasso,Random,italian hip hop,2019,italy,46,Chiasso
137,China,Anuel AA,latin,2019,argentina,61,China
138,China,Anuel AA,latin,2019,bolivia,61,China
139,China,Anuel AA,latin,2019,colombia,61,China
140,China,Anuel AA,latin,2019,chile,61,China
141,China,Anuel AA,latin,2019,spain,61,China
142,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,world,36,Christmas (Baby Please Come Home)
143,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,africa,36,Christmas (Baby Please Come Home)
144,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,belgium,36,Christmas (Baby Please Come Home)
145,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,canada,36,Christmas (Baby Please Come Home)
146,Christmas (Baby Please Come Home),Darlene Love,adult standards,2019,usa,36,Christmas (Baby Please Come Home)
147,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,world,70,Christmas (Baby Please Come Home)
148,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,africa,70,Christmas (Baby Please Come Home)
149,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,belgium,70,Christmas (Baby Please Come Home)
150,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,canada,70,Christmas (Baby Please Come Home)
151,Christmas (Baby Please Come Home),Mariah Carey,dance pop,1994,usa,70,Christmas (Baby Please Come Home)
152,Christmas Lights,Coldplay,permanent wave,2010,world,24,Christmas Lights
153,Christmas Lights,Coldplay,permanent wave,2010,australia,24,Christmas Lights
154,Christmas Lights,Coldplay,permanent wave,2010,belgium,24,Christmas Lights
155,Christmas Lights,Coldplay,permanent wave,2010,canada,24,Christmas Lights
156,Christmas Lights,Coldplay,permanent wave,2010,germany,24,Christmas Lights
157,Christmas Time,Bryan Adams,album rock,2019,germany,32,Christmas Time
158,Christmas Time Is Here - Vocal,Vince Guaraldi Trio,adult standards,1965,usa,9,Christmas Time Is Here (Vocal)
159,Cin Cin,Alfa,italian arena pop,2019,italy,37,Cin Cin
160,Cinta Luar Biasa,Andmesh,indonesian pop,2019,indonesia,32,Cinta Luar Biasa
161,Cinta Luar Biasa,Andmesh,indonesian pop,2019,malasya,32,Cinta Luar Biasa
162,Circles,Post Malone,dfw rap,2019,world,55,Circles
163,Circles,Post Malone,dfw rap,2019,africa,55,Circles
164,Circles,Post Malone,dfw rap,2019,australia,55,Circles
165,Circles,Post Malone,dfw rap,2019,belgium,55,Circles
166,Circles,Post Malone,dfw rap,2019,usa,55,Circles
167,Circles,Post Malone,dfw rap,2019,india,55,Circles
168,Circles,Post Malone,dfw rap,2019,israel,55,Circles
169,Circles,Post Malone,dfw rap,2019,malasya,55,Circles
170,Com ou Sem Mim (Ao Vivo em Fortaleza),Gustavo Mioto,sertanejo,2019,brazil,30,Com ou Sem Mim (Ao Vivo em Fortaleza)
171,Combatchy (feat. MC Rebecca),Anitta,baile pop,2019,brazil,61,Combatchy (feat. MC Rebecca)
172,Compliqué,Dadju,francoton,2019,france,93,Compliqué
173,Con Altura,ROSALÍA,r&b en espanol,2019,argentina,75,Con Altura
174,Con Altura,ROSALÍA,r&b en espanol,2019,bolivia,75,Con Altura
175,Con Altura,ROSALÍA,r&b en espanol,2019,colombia,75,Con Altura
176,Con Altura,ROSALÍA,r&b en espanol,2019,spain,75,Con Altura
177,Con Calma,Daddy Yankee,latin,2019,argentina,66,Con Calma
178,Contando Lunares (feat. Cruz Cafuné),Don Patricio,trap espanol,2019,spain,71,Contando Lunares (feat. Cruz Cafuné)
179,Contatinho - Ao Vivo Em São Paulo / 2019,Leo Santana,axe,2019,brazil,81,Contatinho (Ao Vivo Em São Paulo / 2019)
180,Coronao Now,El Alfa,dembow,2019,chile,72,Coronao Now (Remix)
181,Cuerpo en Venta,Noriel,latin,2019,chile,41,Cuerpo en Venta
182,Cómo estás,Ke Personajes,cumbia pop,2019,argentina,98,Cómo estás
183,Côte Ouest,47ter,french hip hop,2019,france,58,Côte Ouest
184,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,argentina,83,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
185,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,bolivia,83,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
186,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,chile,83,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
187,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,latin,2019,spain,83,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) (Remix)"
188,Dan...,Sheila On 7,indonesian pop,1999,indonesia,54,Dan... (Album Version)
189,Dance Like,Harrdy Sandhu,desi pop,2019,india,54,Dance Like
190,Dance Monkey,Tones and I,australian pop,2019,world,51,Dance Monkey
191,Dance Monkey,Tones and I,australian pop,2019,africa,51,Dance Monkey
192,Dance Monkey,Tones and I,australian pop,2019,argentina,51,Dance Monkey
193,Dance Monkey,Tones and I,australian pop,2019,australia,51,Dance Monkey
194,Dance Monkey,Tones and I,australian pop,2019,belgium,51,Dance Monkey
195,Dance Monkey,Tones and I,australian pop,2019,bolivia,51,Dance Monkey
196,Dance Monkey,Tones and I,australian pop,2019,brazil,51,Dance Monkey
197,Dance Monkey,Tones and I,australian pop,2019,canada,51,Dance Monkey
198,Dance Monkey,Tones and I,australian pop,2019,germany,51,Dance Monkey
199,Dance Monkey,Tones and I,australian pop,2019,colombia,51,Dance Monkey
200,Dance Monkey,Tones and I,australian pop,2019,chile,51,Dance Monkey
201,Dance Monkey,Tones and I,australian pop,2019,spain,51,Dance Monkey
202,Dance Monkey,Tones and I,australian pop,2019,france,51,Dance Monkey
203,Dance Monkey,Tones and I,australian pop,2019,indonesia,51,Dance Monkey
204,Dance Monkey,Tones and I,australian pop,2019,israel,51,Dance Monkey
205,Dance Monkey,Tones and I,australian pop,2019,italy,51,Dance Monkey
206,Dance Monkey,Tones and I,australian pop,2019,malasya,51,Dance Monkey
207,Daniela,Rodolfo Aicardi,classic colombian pop,2012,colombia,93,Daniela
208,Dans l'univers,Nekfeu,french hip hop,2019,france,20,Dans l'univers
209,Der Bratan bleibt der gleiche,Capital Bra,german hip hop,2019,germany,67,Der Bratan bleibt der gleiche
210,Desconocidos,Mau y Ricky,latin,2019,bolivia,68,Desconocidos
211,Detente,Mike Bahía,colombian pop,2019,bolivia,36,Detente
213,Distant,Maes,french hip hop,2019,france,49,Distant
214,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,world,35,Do They Know It's Christmas? (1984 Version)
215,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,africa,35,Do They Know It's Christmas? (1984 Version)
216,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,australia,35,Do They Know It's Christmas? (1984 Version)
217,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,belgium,35,Do They Know It's Christmas? (1984 Version)
218,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,canada,35,Do They Know It's Christmas? (1984 Version)
219,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,germany,35,Do They Know It's Christmas? (1984 Version)
220,Do They Know It's Christmas? - 1984 Version,Band Aid,Other,2004,usa,35,Do They Know It's Christmas? (1984 Version)
221,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,canada,41,Do You Hear What I Hear? (Remastered 2006)
222,Do You Hear What I Hear? - Remastered 2006,Bing Crosby,adult standards,2006,usa,41,Do You Hear What I Hear? (Remastered 2006)
223,Doch in der Nacht,Apache 207,german hip hop,2019,germany,71,Doch in der Nacht
224,Dois Lados,Wesley Safadão,forro,2019,brazil,93,Dois Lados
225,"Don't Be Shy Again (From ""Bala"")",Sachin-Jigar,desi pop,2019,india,91,"Don't Be Shy Again (From ""Bala"")"
226,Don't Start Now,Dua Lipa,dance pop,2019,world,68,Don't Start Now
227,Don't Start Now,Dua Lipa,dance pop,2019,australia,68,Don't Start Now
228,Don't Start Now,Dua Lipa,dance pop,2019,belgium,68,Don't Start Now
229,Don't Start Now,Dua Lipa,dance pop,2019,france,68,Don't Start Now
230,Don't Start Now,Dua Lipa,dance pop,2019,israel,68,Don't Start Now
231,Don't Start Now,Dua Lipa,dance pop,2019,malasya,68,Don't Start Now
232,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,world,87,Driving Home for Christmas (2019 Remaster)
233,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,australia,87,Driving Home for Christmas (2019 Remaster)
234,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,belgium,87,Driving Home for Christmas (2019 Remaster)
235,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,canada,87,Driving Home for Christmas (2019 Remaster)
236,Driving Home for Christmas - 2019 Remaster,Chris Rea,album rock,1987,germany,87,Driving Home for Christmas (2019 Remaster)
237,Dulce Pecado,Jessi Uribe,colombian pop,2019,colombia,77,Dulce Pecado
239,Easy - Remix,Jhay Cortez,latin,2019,spain,44,Easy (Remix)
241,El Bombón,Los Palmeras,argentine rock,2016,argentina,87,El Bombón
242,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,argentina,48,Sigues Con El
243,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,latin,2019,chile,48,Sigues Con El
244,El Hijo Ausente,Pastor Lopez,cumbia,2012,colombia,85,El Hijo Ausente
245,El Jornalero (El Hijo de Tuta),Lisandro Meza,cumbia,2001,colombia,96,El Jornalero (El Hijo de Tuta)
246,Ela Vem,MC G15,brega funk,2019,brazil,59,Ela Vem
247,Elle est bonne sa mère,Vegedream,francoton,2019,france,47,Elle est bonne sa mère
248,En Barranquilla Me Quedo,Joe Arroyo,cumbia,2009,colombia,75,En Barranquilla Me Quedo
249,Espaçosa Demais - Ao Vivo,Felipe Araújo,funk carioca,2018,brazil,71,Espaçosa Demais (Ao Vivo)
250,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,world,47,Fairytale of New York (feat. Kirsty MacColl)
251,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,australia,47,Fairytale of New York (feat. Kirsty MacColl)
252,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,belgium,47,Fairytale of New York (feat. Kirsty MacColl)
253,Fairytale of New York (feat. Kirsty MacColl),The Pogues,celtic punk,1988,canada,47,Fairytale of New York (feat. Kirsty MacColl)
254,Fake News - Ao Vivo,Gustavo Mioto,sertanejo,2019,brazil,73,Fake News (Ao Vivo)
255,Falling,Harry Styles,dance pop,2019,malasya,6,Falling
256,Falling,Trevor Daniel,alternative r&b,2018,world,24,Falling
257,Falling,Trevor Daniel,alternative r&b,2018,australia,24,Falling
258,Falling,Trevor Daniel,alternative r&b,2018,germany,24,Falling
259,Falling,Trevor Daniel,alternative r&b,2018,usa,24,Falling
260,Falling,Trevor Daniel,alternative r&b,2018,india,24,Falling
261,Falling,Trevor Daniel,alternative r&b,2018,indonesia,24,Falling
262,Falling,Trevor Daniel,alternative r&b,2018,israel,24,Falling
263,Falling,Trevor Daniel,alternative r&b,2018,italy,24,Falling
264,Falling,Trevor Daniel,alternative r&b,2018,malasya,24,Falling
265,Fantasias,Rauw Alejandro,latin,2019,argentina,79,Fantasias (Remix)
266,Fantasias,Rauw Alejandro,latin,2019,bolivia,79,Fantasias (Remix)
267,Fantasias,Rauw Alejandro,latin,2019,colombia,79,Fantasias (Remix)
268,Fantasias,Rauw Alejandro,latin,2019,chile,79,Fantasias (Remix)
269,Fantasias,Rauw Alejandro,latin,2019,spain,79,Fantasias (Remix)
270,Fantasía,Ozuna,latin,2019,chile,78,Fantasía
271,Fantasía,Ozuna,latin,2019,spain,78,Fantasía
272,Feelings,Lauv,pop,2019,malasya,25,Feelings
273,Feliz Navidad,José Feliciano,latin pop,2001,world,96,Feliz Navidad
274,Feliz Navidad,José Feliciano,latin pop,2001,africa,96,Feliz Navidad
275,Feliz Navidad,José Feliciano,latin pop,2001,belgium,96,Feliz Navidad
276,Feliz Navidad,José Feliciano,latin pop,2001,bolivia,96,Feliz Navidad
277,Feliz Navidad,José Feliciano,latin pop,2001,canada,96,Feliz Navidad
278,Feliz Navidad,José Feliciano,latin pop,2001,germany,96,Feliz Navidad
279,Feliz Navidad,José Feliciano,latin pop,2001,chile,96,Feliz Navidad
280,Feliz Navidad,José Feliciano,latin pop,2001,spain,96,Feliz Navidad
281,Feliz Navidad,José Feliciano,latin pop,2001,usa,96,Feliz Navidad
282,Feliz Navidad,José Feliciano,latin pop,2001,italy,96,Feliz Navidad
284,Filhall,B Praak,desi pop,2019,india,59,Filhall
285,Fingindo Maturidade - Ao Vivo,Mano Walter,forro,2019,brazil,74,Fingindo Maturidade (Ao Vivo)
287,Fresa,TINI,latin pop,2019,argentina,86,Fresa
288,Fuera De Mi Mente,Lérica,spanish pop,2019,spain,70,Fuera De Mi Mente
289,Futsal Shuffle 2020,Lil Uzi Vert,melodic rap,2019,usa,30,Futsal Shuffle 2020
291,Gaiola É o Troco,MC Du Black,funk carioca,2019,brazil,85,Gaiola É o Troco
292,Gasolina (feat. Gambi),Hamza,belgian hip hop,2019,france,72,Gasolina (feat. Gambi)
294,Gigolò (feat. Sfera Ebbasta & Capo Plaza),Lazza,italian hip hop,2019,italy,39,SPORT + muscoli (RMX)
295,God Bless (feat. Damso),Hamza,belgian hip hop,2019,france,23,God Bless (feat. Damso)
296,Golpe Con Golpe,Pastor Lopez,cumbia,2012,colombia,97,Golpe Con Golpe
298,Goteo,Duki,argentine hip hop,2019,argentina,44,Goteo
299,Goteo,Duki,argentine hip hop,2019,spain,44,Goteo
300,Gurenge,LiSA,anime rock,2019,japan,31,Gurenge
302,HIGHEST IN THE ROOM,Travis Scott,rap,2019,israel,6,HIGHEST IN THE ROOM
303,Haa Tepok,MeerFly,malaysian hip hop,2019,malasya,68,Haa Tepok
304,Hakujitsu,King Gnu,j-pop,2019,japan,75,Hakujitsu
